ensembl_gene_id	mgi_symbol	gene_biotype	description	PFC.P.Value_PFC_FENT	PFC.logFC_PFC_FENT	AMY.P.Value_AMY_FENT	AMY.logFC_AMY_FENT	INPUT.P.Value_INPUT_FENT	INPUT.logFC_INPUT_FENT	NAC.P.Value_NAC_FENT	NAC.logFC_NAC_FENT	cell_type	avg_logFC	p_val	p_val_adj	de_family	de_method	de_type
ENSMUSG00000000532	Acvr1b	protein_coding	activin A receptor, type 1B [Source:MGI Symbol;Acc:MGI:1338944]	0.608274848418166	0.036757902511857	0.544299137273794	0.0438705121966736	0.880362363931297	0.00972621542515339	0.294547363701797	0.0754407052675852	5	-0.789469585992659	0.0010624270604844	0.771593771715105	pseudobulk	edgeR	LRT
ENSMUSG00000000686	Abhd15	protein_coding	abhydrolase domain containing 15 [Source:MGI Symbol;Acc:MGI:1914727]	0.767670356306817	0.047672361905479	0.271840098211268	0.179664920920653	0.247775778120701	0.169115422620638	0.197006898118864	0.209582734259102	5	3.00777471125501	0.0238125641051827	1	pseudobulk	edgeR	LRT
ENSMUSG00000000693	Loxl3	protein_coding	lysyl oxidase-like 3 [Source:MGI Symbol;Acc:MGI:1337004]	0.538450706687542	0.127154315932508	0.213346618613743	0.260683380322009	0.00943091960372182	0.497323969930203	0.576633755796041	-0.115370943165111	5	-3.84571262525821	0.0328041953789901	1	pseudobulk	edgeR	LRT
ENSMUSG00000000811	Txnrd3	protein_coding	thioredoxin reductase 3 [Source:MGI Symbol;Acc:MGI:2386711]	0.753056224665308	-0.0385423232351985	0.165174928761159	0.172792883470484	0.185626654073616	-0.147287140959862	0.438848697946825	-0.0950387116264444	5	1.23753965638002	0.0421047730325053	1	pseudobulk	edgeR	LRT
ENSMUSG00000000901	Mmp11	protein_coding	matrix metallopeptidase 11 [Source:MGI Symbol;Acc:MGI:97008]	0.302732864829033	0.15413250763263	0.996763893482109	0.000608960855580487	0.214665054713945	-0.167725081037162	0.442307532601162	0.114675937285138	5	2.64102744974808	0.0183398300548059	1	pseudobulk	edgeR	LRT
ENSMUSG00000001036	Epn2	protein_coding	epsin 2 [Source:MGI Symbol;Acc:MGI:1333766]	0.843857105632275	-0.0122017451500125	0.922449632978591	0.00608084797933905	0.62318701438216	-0.0274780883999401	0.254879084813176	0.070911123251296	5	0.464168870346919	0.0164043389193075	1	pseudobulk	edgeR	LRT
ENSMUSG00000001076	C1ql4	protein_coding	complement component 1, q subcomponent-like 4 [Source:MGI Symbol;Acc:MGI:3579909]	0.00242037074619041	-0.882166108380784	0.52294775895136	-0.180437613978902	0.0933975226275187	-0.428217083685289	0.31097640553191	-0.284530623374768	5	4.34290467469941	0.0356628205628176	1	pseudobulk	edgeR	LRT
ENSMUSG00000001166	Oas1c	protein_coding	2'-5' oligoadenylate synthetase 1C [Source:MGI Symbol;Acc:MGI:2149633]	0.139581934655659	0.335928931446014	0.33925339288673	0.217956061659029	0.686169213154251	0.0821647085660317	0.560784917958378	-0.131234640653447	5	-2.43656140502062	0.0363305458723281	1	pseudobulk	edgeR	LRT
ENSMUSG00000001249	Hpn	protein_coding	hepsin [Source:MGI Symbol;Acc:MGI:1196620]	0.385862505795123	-0.171144829241656	0.193091731494157	-0.26007359347279	0.889178652196065	0.0247290634728289	0.290018042121409	-0.209154780420698	5	1.89986157234997	0.0366152917130251	1	pseudobulk	edgeR	LRT
ENSMUSG00000001418	Glmp	protein_coding	glycosylated lysosomal membrane protein [Source:MGI Symbol;Acc:MGI:1913318]	0.689913768272323	0.0539306049519512	0.795305280779296	-0.0353500483203617	0.977707356572621	0.003404666866478	0.890980681255439	0.0185163993838109	5	2.41024378319684	0.0390695729152887	1	pseudobulk	edgeR	LRT
