ensembl_gene_id	logFC	AveExpr	t	P.Value	adj.P.Val	B	ModuleEigengene	mgi_symbol
ENSMUSG00000002228	-0.176847283736016	1.30614473485313e-17	-1.50605174602625	0.132320395737023	0.401934325994216	-4.85775071043096	ME32	Ppm1j
ENSMUSG00000002379	0.012988018796831	-6.24500451351651e-17	0.110607457310952	0.911946363112499	0.935633281634901	-5.90442332605811	ME1	Ndufa11
ENSMUSG00000004207	-0.0501667282013556	1.38777878078145e-17	-0.427225609599167	0.669292624057379	0.806829259524353	-5.82541675922805	ME66	Psap
ENSMUSG00000009894	-0.117752323623076	-8.57157482247364e-18	-1.00279228973572	0.316165810527555	0.555202910211293	-5.44354547809408	ME25	Snap47
ENSMUSG00000013523	-0.229067298950573	8.93892802915108e-17	-1.95076338326462	0.0513206430116166	0.225240599884317	-4.14451262003911	ME56	Bcas1
ENSMUSG00000015656	-0.0493989431294008	-1.83676603338721e-17	-0.420687063890336	0.67405988770389	0.806829259524353	-5.82798900327586	ME10	Hspa8
ENSMUSG00000017677	0.117730658038826	3.18372779120449e-17	1.00260778313603	0.316254822272256	0.555202910211293	-5.4437171474635	ME18	Wsb1
ENSMUSG00000019817	-0.26167347998428	-1.48982133819185e-17	-2.22844135964997	0.0260381340513461	0.155189845656963	-3.60610033078968	ME34	Plagl1
ENSMUSG00000020719	0.144881323548322	4.22456187679058e-17	1.2338259637748	0.217512414748839	0.490956593290236	-5.20380187402897	ME40	Ddx5
ENSMUSG00000021680	-0.248671654094309	-9.79608551139844e-18	-2.11771631955068	0.0344068919167051	0.169884028838732	-3.82937075885623	ME45	Crhbp
ENSMUSG00000022265	-0.219206904437231	3.75516611270274e-17	-1.8667911329727	0.0621775615296029	0.258527755833612	-4.29324342194729	ME59	Ank
ENSMUSG00000022548	0.261754993639446	1.53063836115601e-17	2.22913553928391	0.0259917906300163	0.155189845656963	-3.60466467412178	ME4	Apod
ENSMUSG00000023192	-0.0845155890580878	4.23476613253162e-17	-0.719744447177214	0.471824280165305	0.690261446908502	-5.6697536146715	ME46	Grm2
ENSMUSG00000023828	0.259161121084361	1.13675408955186e-16	2.20704582318522	0.0275019979645251	0.155189845656963	-3.65012989522351	ME16	Slc22a3
ENSMUSG00000024095	-0.148864426171839	1.63268091856641e-16	-1.2677465224287	0.2051375273231	0.476643078191909	-5.16443273038489	ME74	Hnrnpll
ENSMUSG00000025579	-0.277338444175304	6.06132791017778e-17	-2.3618459908828	0.0183452006032565	0.149288347770316	-3.32198762251423	ME29	Gaa
ENSMUSG00000026113	-0.0853049357184121	-2.32657030895713e-17	-0.726466613844903	0.46769623658041	0.690261446908502	-5.66524315467774	ME17	Inpp4a
ENSMUSG00000026764	-0.0874168140876504	1.15512174988573e-16	-0.744451612190335	0.456750905681004	0.690261446908502	-5.65296936119092	ME64	Kif5c
ENSMUSG00000026977	0.18468821429965	-6.85725985797891e-17	1.57282600976592	0.116026051362672	0.388945777952292	-4.76236541385734	ME48	Marchf7
